Date,CPI,MHS
01/01/1983,5.0146534,73300
01/04/1983,4.828054152,74900
01/07/1983,3.69758219,77400
01/10/1983,4.709706722,75900
01/01/1984,4.852490457,78200
01/04/1984,4.47375382,80700
01/07/1984,4.709706722,81000
01/10/1984,3.496534119,79900
01/01/1985,3.074902723,82800
01/04/1985,4.493616325,84300
01/07/1985,2.431483442,83200
01/10/1985,3.462854485,86800
01/01/1986,4.423300377,88000
01/04/1986,4.169624405,92100
01/07/1986,4.019606265,93000
01/10/1986,4.170621039,95000
01/01/1987,5.358297846,97900
01/04/1987,4.73286577,103400
01/07/1987,4.187814481,106000
01/10/1987,3.784955092,111500
01/01/1988,3.318591387,110000
01/04/1988,4.737497993,110000
01/07/1988,4.570726716,115000
01/10/1988,4.272697735,113900
01/01/1989,4.681421776,118000
01/04/1989,4.879063021,118900
01/07/1989,5.814260244,120000
01/10/1989,5.169128098,124800
01/01/1990,5.216139935,123900
01/04/1990,5.314373822,126800
01/07/1990,5.302671688,117000
01/10/1990,4.553350484,121500
01/01/1991,5.562784486,120000
01/04/1991,3.372761236,119900
01/07/1991,4.442030312,120000
01/10/1991,2.335350136,120000
01/01/1992,1.732730355,119500
01/04/1992,2.428294262,120000
01/07/1992,1.77845401,120000
01/10/1992,3.783837809,126000
01/01/1993,3.442923848,125000
01/04/1993,4.096520336,127000
01/07/1993,1.688853362,127000
01/10/1993,3.699815313,127000
01/01/1994,2.711771858,130000
01/04/1994,2.514685981,130000
01/07/1994,2.069453081,129700
01/10/1994,2.220319586,132000
01/01/1995,4.186194834,130000
01/04/1995,3.658509799,133900
01/07/1995,3.032715326,132000
01/10/1995,3.227007329,138000
01/01/1996,3.775767724,137000
01/04/1996,3.133275713,139900
01/07/1996,3.196372463,140000
01/10/1996,2.881981803,144100
01/01/1997,3.026179054,145000
01/04/1997,2.98770835,145800
01/07/1997,2.026176338,145000
01/10/1997,2.481544929,144200
01/01/1998,2.421792778,152200
01/04/1998,2.274818748,149500
01/07/1998,3.214777163,153000
01/10/1998,3.337016067,153000
01/01/1999,1.549172043,157400
01/04/1999,2.675990382,158700
01/07/1999,2.39370687,159100
01/10/1999,1.693605865,165300
01/01/2000,3.851771126,165300
01/04/2000,2.276901266,163200
01/07/2000,3.436363353,168800
01/10/2000,2.701073265,172900
01/01/2001,4.076477832,169800
01/04/2001,3.144633088,179000
01/07/2001,2.435041108,172500
01/10/2001,4.184076582,171100
01/01/2002,2.761589672,188700
01/04/2002,2.676482145,187200
01/07/2002,2.245055231,178100
01/10/2002,2.313903075,190100
01/01/2003,2.181390428,186000
01/04/2003,0.55303689,191800
01/07/2003,2.671073123,191900
01/10/2003,2.095867494,198800
01/01/2004,2.220074706,212700
01/04/2004,2.538381927,217600
01/07/2004,1.77113696,213500
01/10/2004,2.660501094,228800
01/01/2005,3.421759136,232500
01/04/2005,2.096479013,233700
01/07/2005,3.028645573,236400
01/10/2005,3.331575156,243600
01/01/2006,2.884321866,247700
01/04/2006,2.887031617,246300
01/07/2006,3.053930524,235600
01/10/2006,3.65069704,245400
01/01/2007,2.964410263,257400
01/04/2007,2.368325368,242200
01/07/2007,2.828170985,241800
01/10/2007,3.434630521,238400
01/01/2008,3.283605276,233900
01/04/2008,2.241013884,235300
01/07/2008,3.989128739,226500
01/10/2008,2.201710242,222500
01/01/2009,2.403640625,208400
01/04/2009,1.861170199,220900
01/07/2009,0.125832513,214300
01/10/2009,1.190365419,219000
01/01/2010,0.680110846,222900
01/04/2010,0.452616254,219500
01/07/2010,0.632305068,224100
01/10/2010,1.126090571,224300
01/01/2011,2.27322626,226900
01/04/2011,2.249219196,228100
01/07/2011,2.537031376,223500
01/10/2011,2.022265145,221100
01/01/2012,3.198089285,238400
01/04/2012,2.285133843,238700
01/07/2012,2.083711194,248800
01/10/2012,1.875047663,251700
01/01/2013,2.741807504,258400
01/04/2013,2.088884186,268100
01/07/2013,2.003200047,264800
01/10/2013,1.163729291,273600
01/01/2014,2.406326504,275200
01/04/2014,2.214932229,288000
01/07/2014,2.404903838,281000
01/10/2014,2.428956551,298900
01/01/2015,1.947529599,289200
01/04/2015,2.962650539,289100
01/07/2015,1.922025301,295800
01/10/2015,2.283164491,302500
01/01/2016,2.708416591,299800
01/04/2016,3.825477883,306000
01/07/2016,2.490164711,303800
01/10/2016,2.018025562,310900
01/01/2017,3.436305775,313100
01/04/2017,1.553658363,318200
01/07/2017,2.122093683,320500
01/10/2017,2.424963024,337900
01/01/2018,3.970630914,331800
01/04/2018,3.007722884,315600
01/07/2018,2.285576638,330900
01/10/2018,2.227796615,322800
01/01/2019,3.071991814,313000
01/04/2019,2.674742344,322500
01/07/2019,2.945347896,318400
01/10/2019,2.360033831,327100
01/01/2020,3.883360602,329000
01/04/2020,1.833222789,322600
01/07/2020,3.829795806,337500
01/10/2020,2.019026857,358700
01/01/2021,1.506475077,369800
01/04/2021,2.744065345,382600
01/07/2021,2.764498223,411200
01/10/2021,6.251636624,423600
01/01/2022,7.141525019,433100
01/04/2022,6.527992743,449300
01/07/2022,6.483074094,454900
