DATE,SP500,WTREGEN
20/01/2021,3803.6375,1626.906
27/01/2021,3830.058,1633.54
03/02/2021,3786.392,1625.325
10/02/2021,3899.054,1608.906
17/02/2021,3928.7825,1567.041
24/02/2021,3900.796,1529.977
03/03/2021,3846.464,1429.549
10/03/2021,3841.202,1360.064
17/03/2021,3957.69,1272.583
24/03/2021,3913.762,1061.138
31/03/2021,3957.318,1025.727
07/04/2021,4062.9175,1010.103
14/04/2021,4124.042,925.094
21/04/2021,4165.502,1015.902
28/04/2021,4174.534,967.689
05/05/2021,4183.51,953.689
12/05/2021,4167.558,898.779
19/05/2021,4138.63,866.119
26/05/2021,4179.23,812.473
02/06/2021,4203.7875,783.235
09/06/2021,4219.214,730.235
16/06/2021,4242.412,653.889
23/06/2021,4220.276,734.689
30/06/2021,4285.42,745.962
07/07/2021,4343.4875,753.364
14/07/2021,4363.702,704.918
21/07/2021,4325.486,678.103
28/07/2021,4400.734,578.204
04/08/2021,4405.476,492.668
11/08/2021,4436.484,434.919
18/08/2021,4451.378,338.808
25/08/2021,4461.884,301.43
01/09/2021,4510.986,277.65
08/09/2021,4526.62,253.496
15/09/2021,4468.868,230.328
22/09/2021,4402.86,308.022
29/09/2021,4411.932,197.744
06/10/2021,4334.862,135.582
13/10/2021,4373.348,77.858
20/10/2021,4490.382,83.386
27/10/2021,4557.526,213.291
03/11/2021,4621.338,280.205
10/11/2021,4682.25,259.293
17/11/2021,4680.898,211.453
24/11/2021,4695.52,164.087
01/12/2021,4582.4825,152.651
08/12/2021,4619.032,115.117
15/12/2021,4678.476,104.798
22/12/2021,4640.624,84.954
29/12/2021,4774.0975,211.849
05/01/2022,4767.118,389.751
12/01/2022,4696.558,456.401
19/01/2022,4607.9375,488.697
26/01/2022,4399.436,614.877
02/02/2022,4481.966,675.773
09/02/2022,4514.112,686.384
16/02/2022,4454.094,692.541
23/02/2022,4314.8475,697.838
02/03/2022,4348.018,682.903
09/03/2022,4268.406,652.039
16/03/2022,4251.45,570.606
23/03/2022,4460.764,614.616
30/03/2022,4574.558,575.065
06/04/2022,4533.036,574.451
13/04/2022,4449.012,547.308
20/04/2022,4426.485,711.406
27/04/2022,4264.144,944.328
04/05/2022,4210.092,945.478
11/05/2022,4039.536,945.658
18/05/2022,3994.902,886.964
25/05/2022,3939.222,821.535
01/06/2022,4112.365,789.532
08/06/2022,4136.648,723.384
15/06/2022,3838.756,656.87
22/06/2022,3716.5725,758.283
29/06/2022,3849.592,756.627
06/07/2022,3821.795,700.457
13/07/2022,3855.402,652.572
20/07/2022,3876.196,613.878
27/07/2022,3974.416,602.945
03/08/2022,4113.542,594.115
10/08/2022,4153.98,557.265
17/08/2022,4272.76,545.321
24/08/2022,4183.942,535.267
31/08/2022,4045.71,612.536
07/09/2022,3944.7925,581.295
14/09/2022,4012.53,593.808
21/09/2022,3864.086,692.496
28/09/2022,3694.518,689.569
05/10/2022,3695.746,633.939
12/10/2022,3632.488,608.302
19/10/2022,3669.214,607.199
26/10/2022,3781.116,634.548
02/11/2022,3839.226,598.544
09/11/2022,3774.784,527.479
16/11/2022,3971.414,502.982
23/11/2022,3978.536,479.474
30/11/2022,4006.95,511.474
07/12/2022,4004.458,432.335
14/12/2022,3980.684,355.517
21/12/2022,3853.166,459.78
