DATE,WTREGEN,SP500
06/01/2021,1669.327,3732.93
13/01/2021,1589.421,3807.822
20/01/2021,1626.906,3803.6375
27/01/2021,1633.54,3830.058
03/02/2021,1625.325,3786.392
10/02/2021,1608.906,3899.054
17/02/2021,1567.041,3928.7825
24/02/2021,1529.977,3900.796
03/03/2021,1429.549,3846.464
10/03/2021,1360.064,3841.202
17/03/2021,1272.583,3957.69
24/03/2021,1061.138,3913.762
31/03/2021,1025.727,3957.318
07/04/2021,1010.103,4062.9175
14/04/2021,925.094,4124.042
21/04/2021,1015.902,4165.502
28/04/2021,967.689,4174.534
05/05/2021,953.689,4183.51
12/05/2021,898.779,4167.558
19/05/2021,866.119,4138.63
26/05/2021,812.473,4179.23
02/06/2021,783.235,4203.7875
09/06/2021,730.235,4219.214
16/06/2021,653.889,4242.412
23/06/2021,734.689,4220.276
30/06/2021,745.962,4285.42
07/07/2021,753.364,4343.4875
14/07/2021,704.918,4363.702
21/07/2021,678.103,4325.486
28/07/2021,578.204,4400.734
04/08/2021,492.668,4405.476
11/08/2021,434.919,4436.484
18/08/2021,338.808,4451.378
25/08/2021,301.43,4461.884
01/09/2021,277.65,4510.986
08/09/2021,253.496,4526.62
15/09/2021,230.328,4468.868
22/09/2021,308.022,4402.86
29/09/2021,197.744,4411.932
06/10/2021,135.582,4334.862
13/10/2021,77.858,4373.348
20/10/2021,83.386,4490.382
27/10/2021,213.291,4557.526
03/11/2021,280.205,4621.338
10/11/2021,259.293,4682.25
17/11/2021,211.453,4680.898
24/11/2021,164.087,4695.52
01/12/2021,152.651,4582.4825
08/12/2021,115.117,4619.032
15/12/2021,104.798,4678.476
22/12/2021,84.954,4640.624
29/12/2021,211.849,4774.0975
05/01/2022,389.751,4767.118
12/01/2022,456.401,4696.558
19/01/2022,488.697,4607.9375
26/01/2022,614.877,4399.436
02/02/2022,675.773,4481.966
09/02/2022,686.384,4514.112
16/02/2022,692.541,4454.094
23/02/2022,697.838,4314.8475
02/03/2022,682.903,4348.018
09/03/2022,652.039,4268.406
16/03/2022,570.606,4251.45
23/03/2022,614.616,4460.764
30/03/2022,575.065,4574.558
06/04/2022,574.451,4533.036
13/04/2022,547.308,4449.012
20/04/2022,711.406,4426.485
27/04/2022,944.328,4264.144
04/05/2022,945.478,4210.092
11/05/2022,945.658,4039.536
18/05/2022,886.964,3994.902
25/05/2022,821.535,3939.222
01/06/2022,789.532,4112.365
08/06/2022,723.384,4136.648
15/06/2022,656.87,3838.756
22/06/2022,758.283,3716.5725
29/06/2022,756.627,3849.592
06/07/2022,700.457,3821.795
13/07/2022,652.572,3855.402
20/07/2022,613.878,3876.196
27/07/2022,602.945,3974.416
03/08/2022,594.115,4113.542
10/08/2022,557.265,4153.98
17/08/2022,545.321,4272.76
24/08/2022,535.267,4183.942
31/08/2022,612.536,4045.71
07/09/2022,581.295,3944.7925
14/09/2022,593.808,4012.53
21/09/2022,692.496,3864.086
28/09/2022,689.569,3694.518
05/10/2022,633.939,3695.746
12/10/2022,608.302,3632.488
19/10/2022,607.199,3669.214
26/10/2022,634.548,3781.116
02/11/2022,598.544,3839.226
09/11/2022,527.479,3774.784
16/11/2022,502.982,3971.414
23/11/2022,479.474,3978.536
30/11/2022,511.474,4006.95
07/12/2022,432.335,4004.458
14/12/2022,355.517,3980.684
,,3853.166
