IMF Credit Outstanding  for all members from 1984 - 2022,,,,,,,
(in SDRs),,,,,,,
,,,,,,,
Date,GRA Purchases,PRGT 1/2/,Totals,Year,GDP (USD $),,Totals/GDP
08/31/2022,93769635059.00,15254184552.00,109023819611.00,2022.00,96100091004540.90,0.00,0.11
12/31/2021,89474552025.00,14554823681.00,104029375706.00,2021.00,96100091004540.90,0.00,0.11
12/31/2020,93408630285.00,12481816684.00,105890446969.00,2020.00,87652863215992.60,0.00,0.12
12/31/2019,66945509865.00,6590835450.00,73536345315.00,2019.00,86413032779059.90,0.00,0.09
12/31/2018,55395611392.00,6426181029.00,61821792421.00,2018.00,84906814189239.50,0.00,0.07
12/31/2017,39585385873.00,6522280669.00,46107666542.00,2017.00,81403977427442.50,0.00,0.06
12/31/2016,49267630851.00,6482647937.00,55750278788.00,2016.00,79708812241364.70,0.00,0.07
12/31/2015,50757840741.00,6575911158.00,57333751899.00,2015.00,77607198470255.70,0.00,0.07
12/31/2014,69041563463.00,6292755583.00,75334319046.00,2014.00,76465590005079.00,0.00,0.10
12/31/2013,83899249061.00,6174392682.00,90073641743.00,2013.00,75488064175234.30,0.00,0.12
12/31/2012,90042348252.00,5766292503.00,95808640755.00,2012.00,75179266270828.20,0.00,0.13
12/31/2011,87276915790.00,5308609594.00,92585525384.00,2011.00,73853784046173.90,0.00,0.13
12/31/2010,55620104510.00,4819344134.00,60439448644.00,2010.00,66596051013842.60,0.00,0.09
12/31/2009,37221142436.00,5079705286.00,42300847722.00,2009.00,64123704273248.60,0.00,0.07
12/31/2008,17514964723.00,3972372030.00,21487336753.00,2008.00,60809111827058.90,0.00,0.04
12/31/2007,6036146757.00,3796945581.00,9833092338.00,2007.00,58355015091735.70,0.00,0.02
12/31/2006,9822640239.00,3844020520.00,13666660759.00,2006.00,51779845590495.90,0.00,0.03
12/31/2005,28432143237.00,6282121668.00,34714264905.00,2005.00,47779714794501.40,0.00,0.07
12/31/2004,55373766674.00,6766029353.00,62139796027.00,2004.00,44117601127347.20,0.00,0.14
12/31/2003,65032062712.00,6880893268.00,71912955980.00,2003.00,39146988388574.70,0.00,0.18
12/31/2002,63601058794.00,6868671012.00,70469729806.00,2002.00,34911427050143.30,0.00,0.20
12/31/2001,53477225409.00,6424578684.00,59901804093.00,2001.00,33830878799862.60,0.00,0.18
12/31/2000,42990531049.00,6331595468.00,49322126517.00,2000.00,33615435966786.10,0.00,0.15
12/31/1999,51061861875.00,6434274362.00,57496136237.00,1999.00,32737374968670.30,0.00,0.18
12/31/1998,60451017051.00,6288825925.00,66739842976.00,1998.00,31736660050489.40,0.00,0.21
12/31/1997,46559033783.00,6009867422.00,52568901205.00,1997.00,31620443662618.80,0.00,0.17
12/31/1996,36127472805.00,5881609752.00,42009082557.00,1996.00,31539957901617.90,0.00,0.13
12/31/1995,35929173412.00,5657438528.00,41586611940.00,1995.00,31043647879191.00,0.00,0.13
12/31/1994,25611676952.00,4599768498.00,30211445450.00,1994.00,27872255132401.30,0.00,0.11
12/31/1993,25196745031.00,3942792899.00,29139537930.00,1993.00,25821978923417.60,0.00,0.11
12/31/1992,23967172718.00,3804463796.00,27771636514.00,1992.00,25406106106319.10,0.00,0.11
12/31/1991,23378573926.00,3285717796.00,26664291722.00,1991.00,23759572449577.40,0.00,0.11
12/31/1990,20731851093.00,2571911617.00,23303762710.00,1990.00,22779978683109.70,0.00,0.10
12/31/1989,22315104224.00,2334886562.00,24649990786.00,1989.00,20194003803614.60,0.00,0.12
12/31/1988,24750004884.00,1773964293.00,26523969177.00,1988.00,19337997470087.40,0.00,0.14
12/31/1987,28751979125.00,1866342930.00,30618322055.00,1987.00,17307238004339.90,0.00,0.18
12/31/1986,33334905644.00,2013169931.00,35348075575.00,1986.00,15205315531175.40,0.00,0.23
12/31/1985,35194787249.00,2470247948.00,37665035197.00,1985.00,12860094462309.80,0.00,0.29
12/31/1984,34936772393.00,2769874900.00,37706647293.00,1984.00,12269792365284.90,0.00,0.31
,,,,,,,
,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,
